Reference sample,Sample,Common name,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
iyBomCamp1,iyBomCamp1,Field cuckoo-bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus campestris
iyBomHort1,iyBomHort1,Garden bumblebee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus hortorum
iyBomHypn1,iyBomHypn1,Tree bumblebee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus hypnorum
iyBomPasc1,iyBomPasc1,Common carder bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum
iyBomPrat1,iyBomPrat1,Early bumblebee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pratorum
iyBomSyle1,iyBomSyle1,Forest cuckoo bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus sylvestris
iyBomTerr1,iyBomTerr1,Buff-tailed bumblebee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris
iyBuaLabo1,iyBuaLabo1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Buathra,Buathra laborator
iyCamRapt1,iyCamRapt1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Campoletis,Campoletis raptor
iyCerRyby1,iyCerRyby1,Ornate tailed digger wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Cerceris,Cerceris rybyensis
iyCliInci1,iyCliInci1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Clistopyga,Clistopyga incitator
iyCoeConi1,iyCoeConi1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Megachilidae,Coelioxys,Coelioxys conoideus
iyDolMedi1,iyDolMedi1,Median wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,Dolichovespula media
iyDolSaxo1,iyDolSaxo1,Saxon wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,Dolichovespula saxonica
iyDolSylv1,iyDolSylv1,Tree wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,Dolichovespula sylvestris
iyEctCont1,iyEctCont1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Ectemnius,Ectemnius continuus
iyEctLitu1,iyEctLitu1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Ectemnius,Ectemnius lituratus
iyIchXant1,iyIchXant1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Ichneumon,Ichneumon xanthorius
iyLasLatv2,iyLasLatv2,Furry-claspered furrow bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum lativentre
iyLasMori1,iyLasMori1,Common green furrow bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum morio
iyLasPaux1,iyLasPaux1,Base-banded furrow bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum pauxillum
iyMacEuro1,iyMacEuro1,Yellow loosestrife bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Melittidae,Macropis,Macropis europaea
iyMegLign1,iyMegLign1,Wood-carving leafcutter bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile ligniseca
iyMegWill1,iyMegWill1,Willughby's leafcutter bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile willughbiella
iyMimDahl1,iyMimDahl1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Mimumesa,Mimumesa dahlbomi
iyNetDila1,iyNetDila1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Netelia,Netelia fuscicornis
iyNomFabr1,iyNomFabr1,Fabricius' nomad bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Nomada,Nomada fabriciana
iyNomFuca1,iyNomFuca1,Painted nomad bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Nomada,Nomada fucata
iyNysSpin1,iyNysSpin1,Large spurred digger wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Nysson,Nysson spinosus
iyOphLute1,iyOphLute1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Ophion,Ophion slaviceki
iyPemLugu1,iyPemLugu1,Mournful wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Crabronidae,Pemphredon,Pemphredon lugubris
iyRhoChlo1,iyRhoChlo1,Narrow-striped rhogogaster,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Rhogogaster,Rhogogaster chlorosoma
iySelTumu1,iySelTumu1,Bronze furrow bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,Seladonia,Seladonia tumulorum
iySphMoni1,iySphMoni1,Box-headed blood bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,Sphecodes,Sphecodes monilicornis
iyStePhae1,iyStePhae1,Plain dark bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Megachilidae,Stelis,Stelis phaeoptera
iyTenDist1,iyTenDist1,Small wasp-sawfly,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo distinguenda
iyTenMeso1,iyTenMeso1,Common green-tenthredo,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo mesomela
iyTenNoth1,iyTenNoth1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo notha
iyTipFemo1,iyTipFemo1,Beetle killing wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tiphiidae,Tiphia,Tiphia femorata
iyVesCrab1,iyVesCrab1,European hornet,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro
iyVesGerm1,iyVesGerm1,German wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula germanica
iyVesVulg1,iyVesVulg2,Common wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula vulgaris
iyVesVulg1,iyVesVulg3,Common wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula vulgaris
iyVesVulg1,iyVesVulg5,Common wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula vulgaris
iyVesVulg1,iyVesVulg1,Common wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula vulgaris
jaDiaLine6,jaDiaLine6,Orange-striped anemone,Eukaryota,Metazoa,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Diadumene lineata
jaMetSeni4,jaMetSeni4,Brown sea anemone,Eukaryota,Metazoa,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,Metridium senile
jaNemVect1,jaNemVect1,.,Eukaryota,Metazoa,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,Nematostella,Nematostella vectensis
jhCanCock6,jhCanCock6,(a hydroid),Eukaryota,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Candelabridae,Candelabrum,Candelabrum cocksii
jrHalOcto1,jrHalOcto1,Spotted kaleidoscope jellyfish,Eukaryota,Metazoa,Cnidaria,Staurozoa,Stauromedusae,Kishinouyeidae,Haliclystus,Haliclystus octoradiatus
kaAplTurb1,kaAplTurb1,(a colonial sea squirt),Eukaryota,Metazoa,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,Aplidium turbinatum
kaAscMent1,kaAscMent1,(a solitary sea squirt),Eukaryota,Metazoa,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,Ascidia mentula
kaClaLepa1,kaClaLepa1,Light-bulb sea squirt,Eukaryota,Metazoa,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,Clavelina lepadiformis
kcLamFluv1,kcLamFluv1,European river lamprey,Eukaryota,Metazoa,Chordata,Hyperoartia,Petromyzontiformes,Petromyzontidae,Lampetra,Lampetra fluviatilis
kmMyxGlut1,kmMyxGlut1,Atlantic hagfish,Eukaryota,Metazoa,Chordata,Myxini,Myxiniformes,Myxinidae,Myxine,Myxine glutinosa
laTriPals1,laTriPals1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Juncaginaceae,Triglochin,Triglochin palustris
lpBroSter1,lpBroSter1,Barren brome,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Bromus,Bromus sterilis
lpCarAren1,lpCarAren1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,Carex arenaria
lpCarDepa1,lpCarDepa1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,Carex depauperata
lpCarDivu1,lpCarDivu1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,Carex divulsa
lpCarPend1,lpCarPend1,Pendulous sedge,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,Carex pendula
lpCarRost1,lpCarRost1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,Carex rostrata
lpCarSylv1,lpCarSylv1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,Carex sylvatica
lpJunEffu1,lpJunEffu1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Juncaceae,Juncus,Juncus effusus
lpLuzSylv1,lpLuzSylv1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Juncaceae,Luzula,Luzula sylvatica
lpPhrAust1,lpPhrAust1,Common reed,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Phragmites,Phragmites australis
lpSchLacu1,lpSchLacu1,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Schoenoplectus,Schoenoplectus lacustris
lpSchTriq1,lpSchTriq1,Club-rush,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Schoenoplectus,Schoenoplectus triqueter
mApoSyl1,mApoSyl1,Wood mouse,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus sylvaticus
mCanLor1,mCanLor1,Greenland wolf,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
mCerEla1,mCerEla1,Red deer,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus elaphus
mDelDel1,mDelDel1,Saddleback dolphin,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Delphinidae,Delphinus,Delphinus delphis
mEptNil1,mEptNil1,Northern bat,Eukaryota,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus nilssonii
mGloMel1,mGloMel1,Long-finned pilot whale,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Delphinidae,Globicephala,Globicephala melas
mHypAmp2,mHypAmp2,Northern bottlenose whale,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Ziphiidae,Hyperoodon,Hyperoodon ampullatus
mLagAlb1,mLagAlb1,White-beaked dolphin,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus,Lagenorhynchus albirostris
mMarMar1,mMarMar1,European pine marten,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes martes
mMelMel3,mMelMel3,European badger,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Meles ,Meles meles
mMicMin1,mMicMin1,European harvest mouse,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Micromys,Micromys minutus
mMunRee1,mMunRee1,Reeves' muntjac,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Muntiacus reevesi
mMusMuc1,mMusMuc1,House mouse,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus
mOrcOrc1,mOrcOrc1,Killer whale,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Delphinidae,Orcinus,Orcinus orca
mPhoPho1,mPhoPho1,Harbor porpoise,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena phocoena
mPipPyg2,mPipPyg2,Soprano pipistrelle,Eukaryota,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus pygmaeus
mPleAur1,mPleAur1,Brown big-eared bat,Eukaryota,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus auritus
mSteCoe1,mSteCoe1,Striped dolphin,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Delphinidae,Stenella,Stenella coeruleoalba
paTetJugo1,paTetJugo1,.,Eukaryota,.,Heterolobosea,.,.,Vahlkampfiidae,Tetramitus,Tetramitus jugosus
pxEimPrae1,pxEimPrae1,Coccidian parasite,Eukaryota,.,Apicomplexa,Conoidasida,Eucoccidiorida,Eimeriidae,Eimeria,Eimeria praecox
qcStrAcum1,qcStrAcum1,.,Eukaryota,Metazoa,Arthropoda,Chilopoda,Geophilomorpha,Linotaeniidae,Strigamia,Strigamia acuminata
qhLepNord3,qhLepNord3,Sea louse,Eukaryota,Metazoa,Arthropoda,Hexanauplia,Siphonostomatoida,Caligidae,Lepeophtheirus,Lepeophtheirus nordmannii
qqAmaFero1,qqAmaFero1,.,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Amaurobiidae,Amaurobius,Amaurobius ferox
qqArgBrue1,qqArgBrue1,Wasp spider,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope bruennichi
qqMetBour1,qqMetBour1,.,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Tetragnathidae,Meta,Meta bourneti
qqMetSegm1,qqMetSegm1,.,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Tetragnathidae,Metellina,Metellina segmentata
qqOdiSpin1,qqOdiSpin1,.,Eukaryota,Metazoa,Arthropoda,Arachnida,Opiliones,Phalangiidae,Odiellus,Odiellus spinosus
qqParLuna2,qqParLuna2,.,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Theridiidae,Parasteatoda,Parasteatoda lunata
qqTetMont2,qqTetMont2,Silver stretch spider,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha montana
qxSacCarc1,qxSacCarc1,Crab hacker barnacle,Eukaryota,Metazoa,Arthropoda,Thecostraca,.,Sacculinidae,Sacculina,Sacculina carcini
rZooViv1,rZooViv1,Common lizard,Eukaryota,Metazoa,Chordata,Lepidosauria,Squamata,Lacertidae,Zootoca,Zootoca vivipara
sRajBra1,sRajBra1,Blonde ray,Eukaryota,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja brachyura
tnLinLong1,tnLinLong1,Bootlace worm,Eukaryota,Metazoa,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Lineus,Lineus longissimus
tzBugNeri2,tzBugNeri2,Ruby bryozoan,Eukaryota,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,Bugula neritina
tzBugStol2,tzBugStol2,An erect bryozoan,Eukaryota,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugulina,Bugulina stolonifera
tzCryPall5,tzCryPall5,An encrusting bryozoan,Eukaryota,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Cryptosulidae,Cryptosula,Cryptosula pallasiana
tzMemMemb1,tzMemMemb1,Sea mat,Eukaryota,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
tzWatSuba1,tzWatSuba1,Red ripple bryozoan,Eukaryota,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora subatra
ucDunPrim2,ucDunPrim2,.,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,Dunaliella primolecta
ucMarCocc1,ucMarCocc1,.,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Marvania,Marvania coccoides
ucPycProv1,ucPycProv1,.,Eukaryota,Viridiplantae,Chlorophyta,Pseudoscourfieldiophyceae,Pseudoscourfieldiales,Pycnococcaceae,Pycnococcus,Pycnococcus provasolii
wcApoIcte1,wcApoIcte1,.,Eukaryota,Metazoa,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea icterica
wcLumRube1,wcLumRube1,Red compost earthworm,Eukaryota,Metazoa,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus rubellus
wcLumTerr1,wcLumTerr1,Common earthworm,Eukaryota,Metazoa,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus terrestris
wdMagJohn1,wdMagJohn1,.,Eukaryota,Metazoa,Annelida,Polychaeta,Spionida,Magelonidae,Magelona,Magelona johnstoni
wkErpOcto2,wkErpOcto2,Leech,Eukaryota,Metazoa,Annelida,Clitellata,Hirudinida,Erpobdellidae,Erpobdella,Erpobdella octoculata
wpAchSqua1,wpAchSqua1,Star devouring scaleworm,Eukaryota,Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Acholoe,Acholoe squamosa
wpAleGela1,wpAleGela1,(a scale worm),Eukaryota,Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Alentia,Alentia gelatinosa
wpAliVire1,wpAliVire1,.,Eukaryota,Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta virens
wpHarImpa5,wpHarImpa5,(a scale worm),Eukaryota,Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe impar
wpSthLimi1,wpSthLimi1,(a segmented worm),Eukaryota,Metazoa,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais,Sthenelais limicola
wrPisGeom1,wrPisGeom1,.,Eukaryota,Metazoa,Annelida,Clitellata,Hirudinida,Piscicolidae,Piscicola,Piscicola geometra
wtTerLapi1,wtTerLapi1,(a segmented worm),Eukaryota,Metazoa,Annelida,Polychaeta,Terebellida,Terebellidae,Terebella,Terebella lapidaria
xbArcSenh1,xbArcSenh1,Asian date mussel,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytilida,Mytilidae,Arcuatula,Arcuatula senhousia
xbAzoCham1,xbAzoCham1,.,Eukaryota,Metazoa,Mollusca,Bivalvia,Cardiida,Solecurtidae,Azorinus,Azorinus chamasolen
xbCerEdul1,xbCerEdul1,Edible cockle,Eukaryota,Metazoa,Mollusca,Bivalvia,Cardiida,Cardiidae,Cerastoderma,Cerastoderma edule
xbGarTell2,xbGarTell2,(a clam),Eukaryota,Metazoa,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari,Gari tellinella
xbLutLutr1,xbLutLutr1,Common otter shell,Eukaryota,Metazoa,Mollusca,Bivalvia,Venerida,Mactridae,Lutraria,Lutraria lutraria
xbMagGiga1,xbMagGiga1,Pacific oyster,Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,Magallana,Magallana gigas
xbMimVari1,xbMimVari1,.,Eukaryota,Metazoa,Mollusca,Bivalvia,Pectinida,Pectinidae,Mimachlamys,Mimachlamys varia
xbMytEdul2,xbMytEdul2,Blue mussel,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus edulis
xbOstEdul1,xbOstEdul1,Native oyster,Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,Ostrea edulis
xbSpiSoli1,xbSpiSoli1,(a clam),Eukaryota,Metazoa,Mollusca,Bivalvia,Venerida,Mactridae,Spisula,Spisula solida
xbSpiSubt1,xbSpiSubt1,Cut surfclam,Eukaryota,Metazoa,Mollusca,Bivalvia,Venerida,Mactridae,Spisula,Spisula subtruncata
xgAniVort1,xgAniVort1,Whirlpool ramshorn,Eukaryota,Metazoa,Mollusca,Gastropoda,.,Planorbidae,Anisus,Anisus vortex
xgGibMagu1,xgGibMagu1,Turban top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Gibbula,Gibbula magus
xgOncCelt3,xgOncCelt3,Celtic sea slug,Eukaryota,Metazoa,Mollusca,Gastropoda,Systellommatophora,Onchidiidae,Onchidella,Onchidella celtica
xgPatDepr1,xgPatDepr1,Black-footed limpet,Eukaryota,Metazoa,Mollusca,Gastropoda,.,Patellidae,Patella,Patella depressa
xgPatPell1,xgPatPell1,Blue-rayed limpet,Eukaryota,Metazoa,Mollusca,Gastropoda,.,Patellidae,Patella,Patella pellucida
xgPatUlys2,xgPatUlys2,China limpet,Eukaryota,Metazoa,Mollusca,Gastropoda,.,Patellidae,Patella,Patella ulyssiponensis
xgPatVulg1,xgPatVulg1,Common limpet,Eukaryota,Metazoa,Mollusca,Gastropoda,.,Patellidae,Patella,Patella vulgata
xgPhoLine1,PHORD0020b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0021b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0023b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0024b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0030b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0031b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0034b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0038b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0051b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0058b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,PHORD0060b,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,xgPhoLine1,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgPhoLine1,xgPhoLine2,Thick top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus lineatus
xgSteCine2,xgSteCine2,Grey top shell,Eukaryota,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Steromphala,Steromphala cineraria
xpLepCine2,xpLepCine2,Grey chiton,Eukaryota,Metazoa,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Lepidochitona,Lepidochitona cinerea